problem,category,fix_family,vault_demand,vault_income,difficulty_1_10,cost_band,time_band,lever,multiple_delta,what_a_fix_is,falsifiable_probe
Dependence on one marketing channel,More Predictability & Less Risk,concentration,10,9,6,$5-20k,Two quarters+,Multiple,0.22,Deliberately grow the tail against a hard concentration ceiling.,"What percentage of revenue comes from your largest single client, product, or channel?"
No plan for recurring revenue,More Predictability & Less Risk,recurring,9,9,6,$1-5k,Two quarters+,Multiple,0.28,Convert one-off work to written recurring agreements with auto-renewal.,What share of next quarter's revenue is already contracted or subscribed?
Data privacy or security issues,More Predictability & Less Risk,legal,10,9,6,$1-5k,A quarter,Multiple,0.09,"Bring contracts, IP assignment, terms and data handling up to a standard that survives diligence.","Can you produce a signed, current agreement for your three largest customers right now?"
No plan for market downturns,More Predictability & Less Risk,resilience,7,9,6,$1-5k,A quarter,Multiple,0.11,"A one-page contingency plan per single point of failure, reviewed quarterly.","If your biggest channel or customer vanished on Monday, what is the written plan?"
No forecasting system,More Predictability & Less Risk,visibility,8,9,6,$1-5k,A quarter,Multiple,0.13,"One dashboard, closed monthly, that answers any question in under a minute.","Without opening anything: last month's revenue, margin, and cash on hand."
Underperforming team members,Better Team Performance & Execution,team,10,9,6,$5-20k,Two quarters+,Multiple,0.16,"Documented hiring, onboarding and training that does not route through you.",How long until a new hire produces without supervision — and who trained the last one?
Business cannot run without the founder,More Freedom & Control for the Owner,ownerdep,9,9,6,$5-20k,Two quarters+,Multiple,0.32,Move decisions and relationships out of your head into named owners with authority limits.,"If you disappeared for 30 days with no contact, what breaks first?"
No system for attracting cold traffic,More Revenue,traffic,10,9,7,$20k+,Two quarters+,Both,0.06,Build one repeatable acquisition channel and instrument it end to end.,"How many people who had never heard of you touched your business last month? People, not impressions."
No evergreen lead engine,More Revenue,traffic,10,9,7,$20k+,Two quarters+,Both,0.06,Build one repeatable acquisition channel and instrument it end to end.,"How many people who had never heard of you touched your business last month? People, not impressions."
Paid traffic not profitable,More Revenue,paid,9,9,7,$20k+,Two quarters+,Earnings,0.02,Rebuild the unit economics before spending another dollar on media.,"What does it cost you to acquire one paying customer, all-in?"
Long sales cycles,More Revenue,salesproc,8,9,7,$5-20k,A quarter,Both,0.08,"Documented stages, scripts, and objection handling anyone on the team can run.",What percentage of your qualified conversations became customers last quarter?
Contractor/team overhead too high,More Profit & Better Cash Flow,coststruct,8,9,7,$5-20k,Two quarters+,Earnings,0.03,Rebuild cost-to-serve line by line and cut what does not earn.,"Which single cost line grew fastest last year, and by how much?"
Inefficient fulfillment costs,More Profit & Better Cash Flow,coststruct,8,9,7,$5-20k,Two quarters+,Earnings,0.03,Rebuild cost-to-serve line by line and cut what does not earn.,"Which single cost line grew fastest last year, and by how much?"
Depends on unpredictable sales spikes,More Predictability & Less Risk,concentration,9,9,7,$20k+,Two quarters+,Multiple,0.22,Deliberately grow the tail against a hard concentration ceiling.,"What percentage of revenue comes from your largest single client, product, or channel?"
No email list,More Revenue,capture,10,8,3,Under $1k,Days,Earnings,0.02,Put a real entry offer and capture mechanism on pages that already get traffic.,"Of everyone who visited your site last month, what percentage gave you an email address?"
No post-purchase communication,More Revenue,nurture,9,8,3,Under $1k,Days,Both,0.05,A written sequence that runs on its own from first touch through post-purchase.,How many touches does someone get between first contact and buying? Name them.
Weak lead magnet or entry offer,More Revenue,capture,10,8,3,Under $1k,Days,Earnings,0.02,Put a real entry offer and capture mechanism on pages that already get traffic.,"Of everyone who visited your site last month, what percentage gave you an email address?"
No upsells or cross-sells,More Revenue,expand,9,8,3,Under $1k,Days,Earnings,0.04,Add the obvious next purchase and present it at the moment of highest trust.,"What is your average order value, and what is the second thing you sell?"
Low landing page opt-ins,More Revenue,capture,10,8,4,Under $1k,Days,Earnings,0.02,Put a real entry offer and capture mechanism on pages that already get traffic.,"Of everyone who visited your site last month, what percentage gave you an email address?"
Slow lead response times,More Revenue,qualify,10,8,4,$1-5k,Days,Earnings,0.03,Response-time SLA plus a qualification gate before anything reaches a closer.,A lead came in yesterday. How many minutes passed before a human replied?
No CRM or pipeline management,More Revenue,crm,9,8,4,$1-5k,2-4 weeks,Multiple,0.12,One system of record where the pipeline lives outside anyone's head.,"Open your CRM now. Is every live deal in it, with a next step and a date?"
No system for nurturing warm traffic,More Revenue,nurture,9,8,4,$1-5k,2-4 weeks,Both,0.05,A written sequence that runs on its own from first touch through post-purchase.,How many touches does someone get between first contact and buying? Name them.
Weak follow-up,More Revenue,nurture,10,8,4,$1-5k,2-4 weeks,Both,0.05,A written sequence that runs on its own from first touch through post-purchase.,How many touches does someone get between first contact and buying? Name them.
Inactive customers,More Revenue,retain,9,8,4,$1-5k,A quarter,Both,0.14,Onboarding and success motion that makes the second purchase the default.,What percentage of last year's customers bought again this year?
No clear promised outcome,More Revenue,offer,9,8,4,Under $1k,2-4 weeks,Earnings,0.05,Sharpen the promise and the audience until the offer does the selling.,"In one sentence: what specific outcome do you promise, to whom, by when?"
Low-quality leads,More Revenue,qualify,10,8,4,$1-5k,Days,Earnings,0.03,Response-time SLA plus a qualification gate before anything reaches a closer.,A lead came in yesterday. How many minutes passed before a human replied?
No community or follow-up touchpoints,More Revenue,nurture,9,8,4,$1-5k,2-4 weeks,Both,0.05,A written sequence that runs on its own from first touch through post-purchase.,How many touches does someone get between first contact and buying? Name them.
No repeat customers,More Revenue,retain,9,8,4,$1-5k,A quarter,Both,0.14,Onboarding and success motion that makes the second purchase the default.,What percentage of last year's customers bought again this year?
No re-engagement campaigns,More Revenue,nurture,9,8,4,$1-5k,2-4 weeks,Both,0.05,A written sequence that runs on its own from first touch through post-purchase.,How many touches does someone get between first contact and buying? Name them.
No win-back system,More Revenue,nurture,9,8,4,$1-5k,2-4 weeks,Both,0.05,A written sequence that runs on its own from first touch through post-purchase.,How many touches does someone get between first contact and buying? Name them.
No transformation communicated,More Revenue,offer,9,8,4,Under $1k,2-4 weeks,Earnings,0.05,Sharpen the promise and the audience until the offer does the selling.,"In one sentence: what specific outcome do you promise, to whom, by when?"
Slow email list growth,More Revenue,capture,9,8,4,Under $1k,Days,Earnings,0.02,Put a real entry offer and capture mechanism on pages that already get traffic.,"Of everyone who visited your site last month, what percentage gave you an email address?"
Weak customer research,More Revenue,offer,9,8,4,Under $1k,2-4 weeks,Earnings,0.05,Sharpen the promise and the audience until the offer does the selling.,"In one sentence: what specific outcome do you promise, to whom, by when?"
Weak email nurturing,More Revenue,nurture,9,8,4,$1-5k,2-4 weeks,Both,0.05,A written sequence that runs on its own from first touch through post-purchase.,How many touches does someone get between first contact and buying? Name them.
Weak objection handling,More Revenue,salesproc,9,8,4,$1-5k,2-4 weeks,Both,0.08,"Documented stages, scripts, and objection handling anyone on the team can run.",What percentage of your qualified conversations became customers last quarter?
No customer success system,More Revenue,retain,9,8,4,$1-5k,A quarter,Both,0.14,Onboarding and success motion that makes the second purchase the default.,What percentage of last year's customers bought again this year?
High cart abandonment,More Revenue,convert,10,8,4,$1-5k,2-4 weeks,Earnings,0.03,"Fix the page, the friction, and the pricing presentation — in that order.","Of 100 people who reach your checkout or booking page, how many complete?"
No lead capture strategy,More Revenue,capture,10,8,4,Under $1k,Days,Earnings,0.02,Put a real entry offer and capture mechanism on pages that already get traffic.,"Of everyone who visited your site last month, what percentage gave you an email address?"
Checkout problems,More Revenue,convert,9,8,4,$1-5k,2-4 weeks,Earnings,0.03,"Fix the page, the friction, and the pricing presentation — in that order.","Of 100 people who reach your checkout or booking page, how many complete?"
No sales scripts or frameworks,More Revenue,salesproc,9,8,4,$1-5k,2-4 weeks,Both,0.08,"Documented stages, scripts, and objection handling anyone on the team can run.",What percentage of your qualified conversations became customers last quarter?
Poor pricing presentation,More Revenue,convert,9,8,4,$1-5k,2-4 weeks,Earnings,0.03,"Fix the page, the friction, and the pricing presentation — in that order.","Of 100 people who reach your checkout or booking page, how many complete?"
Pricing too complicated,More Profit & Better Cash Flow,price,9,8,4,Under $1k,Days,Earnings,0.05,Reprice against real cost-to-serve and end discount creep.,"What is your gross margin, to the nearest five points, without looking?"
Discounting too often,More Profit & Better Cash Flow,price,9,8,4,Under $1k,Days,Earnings,0.05,Reprice against real cost-to-serve and end discount creep.,"What is your gross margin, to the nearest five points, without looking?"
No savings buffer,More Profit & Better Cash Flow,cash,10,8,4,Under $1k,Days,Earnings,0.04,"Automate invoicing and collection, shorten terms, take payment up front.",How many days pass between work delivered and cash in the bank?
Operational waste,More Profit & Better Cash Flow,coststruct,9,8,4,$1-5k,A quarter,Earnings,0.03,Rebuild cost-to-serve line by line and cut what does not earn.,"Which single cost line grew fastest last year, and by how much?"
No automated payment collection,More Profit & Better Cash Flow,cash,9,8,4,Under $1k,Days,Earnings,0.04,"Automate invoicing and collection, shorten terms, take payment up front.",How many days pass between work delivered and cash in the bank?
Poor packaging of services,More Profit & Better Cash Flow,offer,9,8,4,Under $1k,2-4 weeks,Earnings,0.05,Sharpen the promise and the audience until the offer does the selling.,"In one sentence: what specific outcome do you promise, to whom, by when?"
No premium version of offer,More Profit & Better Cash Flow,expand,9,8,4,Under $1k,Days,Earnings,0.04,Add the obvious next purchase and present it at the moment of highest trust.,"What is your average order value, and what is the second thing you sell?"
No expense tracking,More Profit & Better Cash Flow,coststruct,10,8,4,$1-5k,A quarter,Earnings,0.03,Rebuild cost-to-serve line by line and cut what does not earn.,"Which single cost line grew fastest last year, and by how much?"
No business dashboard,More Predictability & Less Risk,visibility,9,8,4,$1-5k,2-4 weeks,Multiple,0.13,"One dashboard, closed monthly, that answers any question in under a minute.","Without opening anything: last month's revenue, margin, and cash on hand."
Poor employer brand,Better Team Performance & Execution,team,9,8,4,$5-20k,A quarter,Multiple,0.16,"Documented hiring, onboarding and training that does not route through you.",How long until a new hire produces without supervision — and who trained the last one?
No training materials,Better Team Performance & Execution,team,9,8,4,$5-20k,A quarter,Multiple,0.16,"Documented hiring, onboarding and training that does not route through you.",How long until a new hire produces without supervision — and who trained the last one?
Misalignment between team members,Better Team Performance & Execution,team,9,8,4,$5-20k,A quarter,Multiple,0.16,"Documented hiring, onboarding and training that does not route through you.",How long until a new hire produces without supervision — and who trained the last one?
No hiring process,Better Team Performance & Execution,team,9,8,4,$5-20k,A quarter,Multiple,0.16,"Documented hiring, onboarding and training that does not route through you.",How long until a new hire produces without supervision — and who trained the last one?
Slow ramp-up for new hires,Better Team Performance & Execution,team,9,8,4,$5-20k,A quarter,Multiple,0.16,"Documented hiring, onboarding and training that does not route through you.",How long until a new hire produces without supervision — and who trained the last one?
Attracting wrong applicants,Better Team Performance & Execution,team,10,8,4,$5-20k,A quarter,Multiple,0.16,"Documented hiring, onboarding and training that does not route through you.",How long until a new hire produces without supervision — and who trained the last one?
Founder training everyone manually,Better Team Performance & Execution,ownerdep,9,8,4,$5-20k,Two quarters+,Multiple,0.32,Move decisions and relationships out of your head into named owners with authority limits.,"If you disappeared for 30 days with no contact, what breaks first?"
Hard to find qualified candidates,Better Team Performance & Execution,team,9,8,4,$5-20k,A quarter,Multiple,0.16,"Documented hiring, onboarding and training that does not route through you.",How long until a new hire produces without supervision — and who trained the last one?
Weak boundaries with clients,More Freedom & Control for the Owner,foundertime,10,8,4,Under $1k,2-4 weeks,Multiple,0.1,"Reclaim the calendar: cut meetings, batch, hand off work below your pay grade.","How many hours did you personally work last week? Last week, not a typical one."
No business direction,More Freedom & Control for the Owner,direction,10,8,4,$1-5k,A quarter,Multiple,0.18,"A written plan with a target date, a target buyer, and the gap between here and there.",Write down where this business is in three years and what you want out of it. Can you?
No control over schedule,More Freedom & Control for the Owner,foundertime,10,8,4,Under $1k,2-4 weeks,Multiple,0.1,"Reclaim the calendar: cut meetings, batch, hand off work below your pay grade.","How many hours did you personally work last week? Last week, not a typical one."
Doing work below pay grade,More Freedom & Control for the Owner,foundertime,10,8,4,Under $1k,2-4 weeks,Multiple,0.1,"Reclaim the calendar: cut meetings, batch, hand off work below your pay grade.","How many hours did you personally work last week? Last week, not a typical one."
Constant context switching,More Freedom & Control for the Owner,foundertime,10,8,4,Under $1k,2-4 weeks,Multiple,0.1,"Reclaim the calendar: cut meetings, batch, hand off work below your pay grade.","How many hours did you personally work last week? Last week, not a typical one."
Constant stress,More Freedom & Control for the Owner,foundertime,10,8,4,Under $1k,2-4 weeks,Multiple,0.1,"Reclaim the calendar: cut meetings, batch, hand off work below your pay grade.","How many hours did you personally work last week? Last week, not a typical one."
Too many tasks on founder plate,More Freedom & Control for the Owner,ownerdep,10,8,4,$5-20k,Two quarters+,Multiple,0.32,Move decisions and relationships out of your head into named owners with authority limits.,"If you disappeared for 30 days with no contact, what breaks first?"
No deep work time,More Freedom & Control for the Owner,foundertime,10,8,4,Under $1k,2-4 weeks,Multiple,0.1,"Reclaim the calendar: cut meetings, batch, hand off work below your pay grade.","How many hours did you personally work last week? Last week, not a typical one."
Unqualified leads entering sales,More Revenue,qualify,9,8,5,$1-5k,Days,Earnings,0.03,Response-time SLA plus a qualification gate before anything reaches a closer.,A lead came in yesterday. How many minutes passed before a human replied?
No discovery process,More Revenue,qualify,8,8,5,$1-5k,Days,Earnings,0.03,Response-time SLA plus a qualification gate before anything reaches a closer.,A lead came in yesterday. How many minutes passed before a human replied?
No structured sales process,More Revenue,salesproc,9,8,5,$1-5k,2-4 weeks,Both,0.08,"Documented stages, scripts, and objection handling anyone on the team can run.",What percentage of your qualified conversations became customers last quarter?
No lead qualification process,More Revenue,qualify,9,8,5,$1-5k,Days,Earnings,0.03,Response-time SLA plus a qualification gate before anything reaches a closer.,A lead came in yesterday. How many minutes passed before a human replied?
No segmentation strategy,More Revenue,salesproc,9,8,5,$1-5k,2-4 weeks,Both,0.08,"Documented stages, scripts, and objection handling anyone on the team can run.",What percentage of your qualified conversations became customers last quarter?
Products priced wrong relative to effort,More Profit & Better Cash Flow,price,9,8,5,Under $1k,Days,Earnings,0.05,Reprice against real cost-to-serve and end discount creep.,"What is your gross margin, to the nearest five points, without looking?"
Expenses and income out of sync,More Profit & Better Cash Flow,cash,9,8,5,Under $1k,Days,Earnings,0.04,"Automate invoicing and collection, shorten terms, take payment up front.",How many days pass between work delivered and cash in the bank?
Seasonal revenue drops,More Predictability & Less Risk,concentration,9,8,5,$5-20k,Two quarters+,Multiple,0.22,Deliberately grow the tail against a hard concentration ceiling.,"What percentage of revenue comes from your largest single client, product, or channel?"
Missing contracts,More Predictability & Less Risk,recurring,9,8,5,$1-5k,A quarter,Multiple,0.28,Convert one-off work to written recurring agreements with auto-renewal.,What share of next quarter's revenue is already contracted or subscribed?
No analytics setup,More Predictability & Less Risk,measure,10,8,5,$1-5k,2-4 weeks,Both,0.07,"A standing testing cadence with a decision rule, not opinions.","What did you test last month, and what did it prove?"
No legal documentation,More Predictability & Less Risk,legal,9,8,5,$1-5k,2-4 weeks,Multiple,0.09,"Bring contracts, IP assignment, terms and data handling up to a standard that survives diligence.","Can you produce a signed, current agreement for your three largest customers right now?"
Dependence on one client,More Predictability & Less Risk,concentration,9,8,5,$5-20k,Two quarters+,Multiple,0.22,Deliberately grow the tail against a hard concentration ceiling.,"What percentage of revenue comes from your largest single client, product, or channel?"
Dependence on one product,More Predictability & Less Risk,concentration,7,8,6,$5-20k,Two quarters+,Multiple,0.22,Deliberately grow the tail against a hard concentration ceiling.,"What percentage of revenue comes from your largest single client, product, or channel?"
Dependence on one team member,More Predictability & Less Risk,keyperson,9,8,6,$5-20k,Two quarters+,Multiple,0.24,"Cross-train, document, and put retention terms on the roles that carry the business.","Which single person's resignation would hurt most, and what would break?"
Social media presence unoptimized,More Revenue,traffic,10,7,3,$1-5k,2-4 weeks,Both,0.06,Build one repeatable acquisition channel and instrument it end to end.,"How many people who had never heard of you touched your business last month? People, not impressions."
Weak testimonials,More Revenue,proof,9,7,3,Under $1k,Days,Earnings,0.02,Collect proof systematically at the moment of customer success.,How many written or recorded customer results could you produce in the next hour?
Slow invoicing process,More Profit & Better Cash Flow,cash,9,7,3,Under $1k,Days,Earnings,0.04,"Automate invoicing and collection, shorten terms, take payment up front.",How many days pass between work delivered and cash in the bank?
No payment plans,More Profit & Better Cash Flow,recurring,8,7,3,Under $1k,2-4 weeks,Multiple,0.28,Convert one-off work to written recurring agreements with auto-renewal.,What share of next quarter's revenue is already contracted or subscribed?
Too many meetings,More Freedom & Control for the Owner,foundertime,10,7,3,Under $1k,Days,Multiple,0.1,"Reclaim the calendar: cut meetings, batch, hand off work below your pay grade.","How many hours did you personally work last week? Last week, not a typical one."
Wrong marketing channels,More Revenue,traffic,9,7,4,$5-20k,A quarter,Both,0.06,Build one repeatable acquisition channel and instrument it end to end.,"How many people who had never heard of you touched your business last month? People, not impressions."
No post-purchase education,More Revenue,retain,8,7,4,$1-5k,A quarter,Both,0.14,Onboarding and success motion that makes the second purchase the default.,What percentage of last year's customers bought again this year?
Weak onboarding,More Revenue,retain,8,7,4,$1-5k,A quarter,Both,0.14,Onboarding and success motion that makes the second purchase the default.,What percentage of last year's customers bought again this year?
Late payments,More Profit & Better Cash Flow,cash,9,7,4,Under $1k,Days,Earnings,0.04,"Automate invoicing and collection, shorten terms, take payment up front.",How many days pass between work delivered and cash in the bank?
No billing automation,More Profit & Better Cash Flow,cash,8,7,4,Under $1k,Days,Earnings,0.04,"Automate invoicing and collection, shorten terms, take payment up front.",How many days pass between work delivered and cash in the bank?
No onboarding process,Better Team Performance & Execution,team,9,7,4,$5-20k,A quarter,Multiple,0.16,"Documented hiring, onboarding and training that does not route through you.",How long until a new hire produces without supervision — and who trained the last one?
Outdated terms and policies,More Predictability & Less Risk,legal,9,7,5,$1-5k,2-4 weeks,Multiple,0.09,"Bring contracts, IP assignment, terms and data handling up to a standard that survives diligence.","Can you produce a signed, current agreement for your three largest customers right now?"
